entity_id,entity_type,is_mule,passthrough_ratio,fan_in_count,fan_out_count,layering_depth,sim_switch_count,device_share_count,account_age_days,total_turnover,odd_hour_txn_count,betweenness_centrality,pagerank,in_degree,out_degree,unique_counterparties
MULE_001,MULE,True,0.9697,17,11,4,5,2,2.3185,1180497.8813,12,0.8545,0.1679,15,9,27
MULE_002,MULE,True,0.9334,15,9,5,5,3,12.5187,754731.3591,9,0.7718,0.0596,12,16,27
MULE_003,MULE,True,0.9568,11,14,5,4,2,13.5037,1022706.7977,15,0.6279,0.12,14,8,23
MULE_004,MULE,True,0.9615,11,15,5,4,4,5.5616,696367.7648,5,0.6258,0.0695,14,14,22
MULE_005,MULE,True,0.9204,16,13,5,4,2,10.8037,649893.3131,14,0.8829,0.1707,18,11,28
MULE_006,MULE,True,0.9614,13,13,3,5,2,1.1031,1029539.502,13,0.8321,0.1671,16,13,21
MULE_007,MULE,True,0.9512,10,9,3,3,3,7.5953,852188.8852,12,0.856,0.1452,15,13,16
MULE_008,MULE,True,0.9274,16,12,3,4,3,4.0042,726822.915,15,0.6436,0.0587,18,16,19
MULE_009,MULE,True,0.9264,15,13,3,4,3,10.3004,725109.4892,13,0.8756,0.075,13,8,16
MULE_010,MULE,True,0.965,11,13,4,5,2,8.0146,521849.6822,10,0.7285,0.1072,16,10,19
MULE_011,MULE,True,0.9567,17,10,5,3,3,14.4666,1126864.5526,6,0.8299,0.0899,17,17,18
MULE_012,MULE,True,0.9645,19,14,4,5,2,2.3495,1122081.9172,6,0.6309,0.0959,14,16,23
MULE_013,MULE,True,0.9159,15,14,3,5,3,7.0493,901847.0726,12,0.7836,0.1475,16,8,26
MULE_014,MULE,True,0.9037,14,9,4,3,2,3.0233,482722.3742,6,0.6182,0.1888,15,17,23
MULE_015,MULE,True,0.9312,17,12,3,3,2,7.7522,1026188.1818,15,0.5831,0.123,16,12,21
MULE_016,MULE,True,0.9515,21,12,4,5,2,5.642,816537.922,14,0.5586,0.1739,14,8,28
MULE_017,MULE,True,0.9126,13,12,3,3,3,4.9373,927538.1078,12,0.8408,0.1653,13,9,24
MULE_018,MULE,True,0.9207,20,9,3,3,3,6.1929,1063831.7945,10,0.6769,0.1929,18,14,19
MULE_019,MULE,True,0.9464,20,10,5,5,2,1.6287,748077.648,6,0.947,0.1838,10,15,27
MULE_020,MULE,True,0.9804,20,8,4,4,2,11.8082,929329.0105,9,0.5878,0.162,13,11,18
DECOY_001,DECOY,False,0.1418,48,1,0,0,1,806.8948,1746669.0082,1,0.009,0.0034,22,3,46
DECOY_002,DECOY,False,0.0196,2,2,0,3,3,1949.2876,42555.589,1,0.0004,0.0017,2,2,3
DECOY_003,DECOY,False,0.1355,7,1,0,0,1,1071.9674,178523.8167,2,0.012,0.005,2,6,4
DECOY_004,DECOY,False,0.1418,48,1,0,0,1,806.8948,1746669.0082,1,0.009,0.0034,22,3,46
DECOY_005,DECOY,False,0.0196,2,2,0,3,3,1949.2876,42555.589,1,0.0004,0.0017,2,2,3
DECOY_006,DECOY,False,0.1355,7,1,0,0,1,1071.9674,178523.8167,2,0.012,0.005,2,6,4
DECOY_007,DECOY,False,0.1418,48,1,0,0,1,806.8948,1746669.0082,1,0.009,0.0034,22,3,46
