entity_id,entity_type,is_mule,passthrough_ratio,fan_in_count,fan_out_count,layering_depth,sim_switch_count,device_share_count,account_age_days,total_turnover,odd_hour_txn_count,betweenness_centrality,pagerank,in_degree,out_degree,unique_counterparties
MULE_001,MULE,True,0.9697,17,11,4,5,2,2.3185,1180497.8813,12,0.8545,0.1679,15,9,27
MULE_002,MULE,True,0.9334,15,9,5,5,3,12.5187,754731.3591,9,0.7718,0.0596,12,16,27
MULE_003,MULE,True,0.9568,11,14,5,4,2,13.5037,1022706.7977,15,0.6279,0.12,14,8,23
MULE_004,MULE,True,0.9615,11,15,5,4,4,5.5616,696367.7648,5,0.6258,0.0695,14,14,22
MULE_005,MULE,True,0.9204,16,13,5,4,2,10.8037,649893.3131,14,0.8829,0.1707,18,11,28
MULE_006,MULE,True,0.9614,13,13,3,5,2,1.1031,1029539.502,13,0.8321,0.1671,16,13,21
MULE_007,MULE,True,0.9512,10,9,3,3,3,7.5953,852188.8852,12,0.856,0.1452,15,13,16
DECOY_001,DECOY,False,0.0595,36,2,0,0,1,1591.7935,821877.0092,0,0.0204,0.0044,18,1,44
DECOY_002,DECOY,False,0.0281,1,4,0,2,2,1202.6579,63792.3657,1,0.0199,0.0022,3,4,5
DECOY_003,DECOY,False,0.0045,3,1,0,0,1,1111.3031,143944.3968,2,0.0301,0.0018,3,4,11
DECOY_004,DECOY,False,0.0595,36,2,0,0,1,1591.7935,821877.0092,0,0.0204,0.0044,18,1,44
DECOY_005,DECOY,False,0.0281,1,4,0,2,2,1202.6579,63792.3657,1,0.0199,0.0022,3,4,5
DECOY_006,DECOY,False,0.0045,3,1,0,0,1,1111.3031,143944.3968,2,0.0301,0.0018,3,4,11
DECOY_007,DECOY,False,0.0595,36,2,0,0,1,1591.7935,821877.0092,0,0.0204,0.0044,18,1,44
DECOY_008,DECOY,False,0.0281,1,4,0,2,2,1202.6579,63792.3657,1,0.0199,0.0022,3,4,5
DECOY_009,DECOY,False,0.0045,3,1,0,0,1,1111.3031,143944.3968,2,0.0301,0.0018,3,4,11
DECOY_010,DECOY,False,0.0595,36,2,0,0,1,1591.7935,821877.0092,0,0.0204,0.0044,18,1,44
INNOCENT_0001,INNOCENT,False,0.1785,1,2,0,0,2,1339.7617,18442.3339,1,0.0094,0.0077,3,7,6
INNOCENT_0002,INNOCENT,False,0.1063,4,4,1,0,2,2625.1425,90422.9389,2,0.0077,0.0073,2,1,6
INNOCENT_0003,INNOCENT,False,0.0809,4,2,1,1,2,3130.9437,151945.3864,0,0.0576,0.004,3,5,2
INNOCENT_0004,INNOCENT,False,0.2599,3,4,0,1,1,180.6433,99304.173,0,0.0116,0.0017,3,2,7
INNOCENT_0005,INNOCENT,False,0.0682,2,5,1,1,1,2169.1141,5537.9703,1,0.0767,0.0044,4,6,1
INNOCENT_0006,INNOCENT,False,0.1947,1,4,0,0,2,2099.6555,95224.3908,2,0.0265,0.0046,2,6,5
INNOCENT_0007,INNOCENT,False,0.0086,2,5,0,1,2,2035.6108,22606.5725,0,0.0538,0.003,2,5,9
INNOCENT_0008,INNOCENT,False,0.3075,4,2,0,1,2,863.3746,8445.0987,0,0.0297,0.0068,4,4,9
INNOCENT_0009,INNOCENT,False,0.1269,2,5,1,0,2,956.5936,187272.6704,1,0.0132,0.0013,3,4,11
