entity_id,entity_type,is_mule,passthrough_ratio,fan_in_count,fan_out_count,layering_depth,sim_switch_count,device_share_count,account_age_days,total_turnover,odd_hour_txn_count,betweenness_centrality,pagerank,in_degree,out_degree,unique_counterparties
MULE_001,MULE,True,0.9697,17,11,4,5,2,2.3185,1180497.8813,12,0.8545,0.1679,15,9,27
MULE_002,MULE,True,0.9334,15,9,5,5,3,12.5187,754731.3591,9,0.7718,0.0596,12,16,27
MULE_003,MULE,True,0.9568,11,14,5,4,2,13.5037,1022706.7977,15,0.6279,0.12,14,8,23
DECOY_001,DECOY,False,0.1088,24,3,0,0,1,2918.7743,988738.0372,1,0.0185,0.0029,39,1,33
DECOY_002,DECOY,False,0.0476,1,2,0,2,3,986.8735,67450.8647,2,0.021,0.0019,5,4,6
DECOY_003,DECOY,False,0.0775,6,5,0,0,1,1055.4937,50528.2202,3,0.0004,0.0049,3,6,10
DECOY_004,DECOY,False,0.1088,24,3,0,0,1,2918.7743,988738.0372,1,0.0185,0.0029,39,1,33
DECOY_005,DECOY,False,0.0476,1,2,0,2,3,986.8735,67450.8647,2,0.021,0.0019,5,4,6
INNOCENT_0001,INNOCENT,False,0.2821,2,4,1,0,2,536.0651,23791.4846,1,0.0535,0.0043,6,4,1
INNOCENT_0002,INNOCENT,False,0.2539,4,3,1,0,2,1130.2994,7132.7491,1,0.0172,0.0039,4,7,10
INNOCENT_0003,INNOCENT,False,0.0936,5,1,1,0,2,2426.1378,111849.3983,0,0.0627,0.0057,3,3,5
INNOCENT_0004,INNOCENT,False,0.0668,5,2,0,0,1,2644.9408,92913.5688,2,0.0401,0.0021,2,4,8
INNOCENT_0005,INNOCENT,False,0.1785,1,2,0,0,2,1339.7617,18442.3339,1,0.0094,0.0077,3,7,6
INNOCENT_0006,INNOCENT,False,0.1063,4,4,1,0,2,2625.1425,90422.9389,2,0.0077,0.0073,2,1,6
INNOCENT_0007,INNOCENT,False,0.0809,4,2,1,1,2,3130.9437,151945.3864,0,0.0576,0.004,3,5,2
INNOCENT_0008,INNOCENT,False,0.2599,3,4,0,1,1,180.6433,99304.173,0,0.0116,0.0017,3,2,7
INNOCENT_0009,INNOCENT,False,0.0682,2,5,1,1,1,2169.1141,5537.9703,1,0.0767,0.0044,4,6,1
INNOCENT_0010,INNOCENT,False,0.1947,1,4,0,0,2,2099.6555,95224.3908,2,0.0265,0.0046,2,6,5
INNOCENT_0011,INNOCENT,False,0.0086,2,5,0,1,2,2035.6108,22606.5725,0,0.0538,0.003,2,5,9
INNOCENT_0012,INNOCENT,False,0.3075,4,2,0,1,2,863.3746,8445.0987,0,0.0297,0.0068,4,4,9
INNOCENT_0013,INNOCENT,False,0.1269,2,5,1,0,2,956.5936,187272.6704,1,0.0132,0.0013,3,4,11
INNOCENT_0014,INNOCENT,False,0.3567,5,1,1,1,2,3264.2768,104252.8137,1,0.0618,0.0056,3,3,5
INNOCENT_0015,INNOCENT,False,0.0378,4,4,0,0,1,902.3135,25428.8285,2,0.0665,0.0021,6,2,5
INNOCENT_0016,INNOCENT,False,0.3498,3,1,0,0,1,2844.2055,194393.4588,1,0.0115,0.0011,4,2,3
INNOCENT_0017,INNOCENT,False,0.0527,1,4,1,0,1,2543.23,116642.2052,1,0.016,0.0066,1,6,1
INNOCENT_0018,INNOCENT,False,0.0524,4,3,0,1,2,1469.2331,60888.7897,0,0.053,0.0077,4,4,4
INNOCENT_0019,INNOCENT,False,0.3699,3,1,1,1,1,413.3486,28927.5798,1,0.0335,0.0078,2,5,2
INNOCENT_0020,INNOCENT,False,0.3217,5,3,0,1,2,94.5692,22719.6554,0,0.0637,0.0026,6,3,6
INNOCENT_0021,INNOCENT,False,0.2424,5,5,1,1,1,1384.5462,85750.5352,1,0.0522,0.0071,2,4,6
INNOCENT_0022,INNOCENT,False,0.0947,2,5,1,1,2,411.1066,14245.2125,1,0.0117,0.0068,5,3,4
